name,city,state,activitytype,Best_time_to_visit,Image_url,description,ideal_duration_hours,google_review_rating,entrance_fee_inr,airport_nearby,weekly_off,dslr_allowed
Rann Utsav,Rann of Kutch,Gujarat,CULTURE,Evening,https://www.rannutsav.com/blog/wp-content/uploads/2024/12/141013682_715635635803639_4674705074199093637_n-1.png,Rann Utsav is a well-known Cultural located in Rann of Kutch. It is of Cultural significance.,3.0,4.9,7500,True,None,True
Golden Temple (Harmandir Sahib),Amritsar,Punjab,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/9/94/The_Golden_Temple_of_Amrithsar_7.jpg,Golden Temple (Harmandir Sahib) is a well-known Religious Site located in Amritsar. It is of Spiritual significance.,1.5,4.9,0,True,None,True
Pangong Tso,Leh,Ladakh,NATURE,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/00/2f/67/img-20180620-wa0007-largejpg.jpg?w=900&h=500&s=1,Pangong Tso is a well-known Lake located in Leh. It is of Nature significance.,2.0,4.9,20,True,None,True
Siddhivinayak Temple,Mumbai,Maharastra,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,Siddhivinayak Temple is a well-known Temple located in Mumbai. It is of Religious significance.,2.0,4.8,0,True,None,False
Somnath Temple,Somnath,Gujarat,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,Somnath Temple is a well-known Temple located in Somnath. It is of Religious significance.,2.0,4.8,0,False,None,False
Jallianwala Bagh,Amritsar,Punjab,CULTURE,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Jallianwala_Bagh%2C_Amritsar_01.jpg/1200px-Jallianwala_Bagh%2C_Amritsar_01.jpg,Jallianwala Bagh is a well-known Memorial located in Amritsar. It is of Historical significance.,1.0,4.8,0,True,None,True
Wagah Border,Amritsar,Punjab,CULTURE,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Wagah_border_ceremony2.jpg/800px-Wagah_border_ceremony2.jpg,Wagah Border is a well-known Border Crossing located in Amritsar. It is of Cultural significance.,2.0,4.8,0,True,None,True
Mahalakshmi Temple,Kolhapur,Maharastra,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg/640px-Mahalaxmi_Temple%2C_Kolhapur.jpg,Mahalakshmi Temple is a well-known Temple located in Kolhapur. It is of Religious significance.,1.0,4.8,0,True,None,False
Mahakaleshwar Jyotirlinga,Ujjain,Madhya Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/1200px-Mahakal_Temple_Ujjain.JPG,Mahakaleshwar Jyotirlinga is a well-known Temple located in Ujjain. It is of Religious significance.,1.5,4.8,0,True,None,False
Orchha Fort,Orchha,Madhya Pradesh,ADVENTURE,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/24/96/the-marvellous-orchha.jpg?w=900&h=500&s=1,Orchha Fort is a well-known Fort located in Orchha. It is of Historical significance.,1.5,4.8,10,False,None,True
Key Monastery,Spiti Valley,Himachal Pradesh,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/4/49/1000_Year_loop.jpg,Key Monastery is a well-known Monastery located in Spiti Valley. It is of Religious significance.,1.0,4.8,0,False,None,True
